quantity,waterpoint_type,extraction_type_class,construction_year,payment,water_quality,source,gps_height,longitude,latitude,population,management,funder,installer,date_recorded,permit,public_meeting,amount_tsh,status_group
enough,communal standpipe,gravity,2009.0,pay monthly,soft,spring,1368.0,37.09257412,-3.1817833,1.0,water board,lawatefuka water supply,lawatefuka water sup,2013-03-15,True,True,,functional
enough,hand pump,handpump,,never pay,soft,shallow well,,34.36407268,-3.62933335,,wug,biore,wedeco,2012-10-20,True,True,,functional
enough,hand pump,handpump,1991.0,never pay,soft,machine dbh,1645.0,31.44412134,-8.27496163,200.0,vwc,rudep,dwe,2011-08-04,False,True,,functional
dry,communal standpipe,gravity,1978.0,pay monthly,soft,river,1703.0,34.64243884,-9.10618458,35.0,wua,unicef,dwe,2011-07-04,True,True,500.0,non functional
dry,communal standpipe,gravity,1978.0,pay when scheme fails,soft,river,1656.0,34.56926611,-9.08551497,50.0,wua,unicef,dwe,2011-09-04,True,True,,non functional
insufficient,other,other,1999.0,never pay,milky,spring,1162.0,32.92015381,-1.94786801,1000.0,vwc,hesawa,dwe,2011-07-22,True,,,functional needs repair
enough,communal standpipe,gravity,1992.0,pay annually,soft,spring,1763.0,34.50896732,-9.8944125,1.0,vwc,danida,danid,2011-02-22,True,True,500.0,functional
enough,communal standpipe,gravity,2008.0,pay monthly,soft,spring,2216.0,34.47342985,-9.59498965,4.0,vwc,twe,twe,2011-02-27,False,True,200.0,functional
,hand pump,handpump,,,,shallow well,,,-2e-08,,wug,dwsp,dwe,2013-02-10,False,,,functional
enough,communal standpipe,gravity,1978.0,never pay,soft,river,1510.0,34.58690108,-8.98001429,350.0,wua,unicef,dwe,2011-10-04,True,True,,functional needs repair
enough,communal standpipe,gravity,2011.0,pay monthly,soft,river,672.0,37.94002949,-4.12559468,210.0,vwc,isf,isf,2013-11-03,True,True,500.0,functional
enough,improved spring,gravity,2009.0,,soft,spring,1645.0,29.74706567,-4.49556758,156.0,vwc,african development bank,dwe,2013-01-21,True,False,,functional
enough,communal standpipe,gravity,1974.0,,soft,spring,1273.0,37.42275132,-3.31753648,140.0,vwc,government of tanzania,dwe,2013-02-25,True,True,,functional needs repair
enough,hand pump,handpump,2011.0,pay monthly,soft,machine dbh,200.0,39.37077651,-9.94253166,260.0,vwc,sobodo,kilolo star,2013-01-16,False,False,500.0,functional
enough,hand pump,handpump,,never pay,soft,shallow well,,31.10425712,-1.73536124,,vwc,hesawa,dwe,2011-07-11,True,True,,functional
insufficient,communal standpipe,gravity,2000.0,pay monthly,soft,spring,1443.0,37.61112572,-3.2635263,1.0,company,government of tanzania,district council,2013-03-05,True,True,,non functional
enough,communal standpipe,gravity,2002.0,pay monthly,soft,spring,1256.0,37.06168837,-3.19198926,1.0,water board,lawatefuka water supply,lawatefuka water sup,2013-03-16,True,True,,functional
insufficient,hand pump,handpump,,never pay,soft,shallow well,,36.1083125,-5.79099991,,vwc,water,water,2011-03-23,True,True,,functional
enough,communal standpipe,submersible,2004.0,pay per bucket,soft,river,180.0,38.36355454,-6.63610419,150.0,private operator,private individual,wu,2011-03-16,True,False,50.0,functional
insufficient,other,gravity,1972.0,never pay,soft,river,1481.0,37.49233371,-3.29062725,180.0,other,government of tanzania,dwe,2013-03-19,True,False,,functional needs repair
seasonal,communal standpipe,gravity,1992.0,pay when scheme fails,soft,spring,1638.0,34.47835586,-9.71590954,70.0,vwc,undp,dwe,2011-03-11,False,True,,functional
enough,hand pump,handpump,,never pay,salty,shallow well,-41.0,39.81291224,-7.889986299999999,100.0,vwc,,,2011-02-23,False,True,,functional
seasonal,other,other,2000.0,never pay,soft,rainwater harvesting,1546.0,36.61869946,-3.29300336,200.0,vwc,not known,not known,2013-03-28,True,True,,non functional
dry,communal standpipe,gravity,,never pay,soft,spring,,33.85434473,-9.63851993,,vwc,danida,central government,2011-07-16,True,True,,non functional
enough,communal standpipe,gravity,,pay monthly,soft,spring,,35.85837259,-4.6479063,,vwc,kirde,dwe,2011-03-27,False,True,,functional
enough,communal standpipe,gravity,2003.0,pay annually,soft,river,1955.0,35.89026429,-8.22439872,100.0,vwc,cefa,cefa,2011-02-20,True,True,4000.0,functional
seasonal,hand pump,handpump,2002.0,,soft,shallow well,1348.0,30.6133054,-3.89456056,230.0,vwc,government of tanzania,dwe,2013-02-11,False,True,,non functional
enough,communal standpipe,submersible,2008.0,pay per bucket,soft,machine dbh,710.0,37.42002692,-3.47684942,50.0,water board,ces(gmbh),dwe,2013-10-03,True,True,25.0,functional
enough,communal standpipe,gravity,1986.0,pay when scheme fails,soft,spring,2469.0,33.92790176,-9.20464923,,vwc,government of tanzania,commu,2011-03-12,False,True,500.0,functional
enough,communal standpipe,gravity,2011.0,pay monthly,soft,spring,1803.0,34.81457364,-9.03250291,250.0,wug,european union,accra,2011-07-07,True,True,500.0,functional
dry,communal standpipe,motorpump,1980.0,,,machine dbh,1642.0,34.96778863,-4.62892053,1.0,vwc,,,2013-01-15,,True,,non functional
insufficient,communal standpipe,gravity,2000.0,pay per bucket,soft,spring,1007.0,36.80607857,-3.47855934,100.0,vwc,government of tanzania,dwe,2013-03-18,True,True,20.0,functional needs repair
enough,communal standpipe,wind-powered,,pay when scheme fails,soft,machine dbh,,33.34526033,-3.83899753,,wug,world vision,world vision,2012-10-22,True,True,,non functional
enough,communal standpipe,gravity,2004.0,pay per bucket,soft,spring,240.0,39.08741514,-11.00060373,30.0,vwc,lga,lga,2013-02-05,True,True,20.0,functional needs repair
enough,communal standpipe,gravity,,never pay,soft,spring,,33.5406067,-9.17290468,,vwc,,,2011-07-27,,True,,functional
enough,communal standpipe,gravity,2003.0,pay annually,soft,spring,1982.0,35.87141325,-8.22756303,70.0,vwc,cefa,cefa,2011-02-20,True,True,4000.0,functional
enough,communal standpipe,gravity,2007.0,pay annually,soft,spring,2169.0,34.44128349,-9.18987766,20.0,vwc,district council,dwe,2011-04-04,True,True,1500.0,functional
insufficient,communal standpipe,gravity,2008.0,pay per bucket,soft,spring,783.0,37.37285829,-3.34929238,10.0,water authority,muwsa,muwsa,2013-02-21,True,True,20.0,functional
dry,communal standpipe,gravity,1973.0,never pay,soft,river,1545.0,32.04683486,-8.57166114,200.0,vwc,dwe/norad,dwe,2011-08-18,True,True,,non functional
enough,communal standpipe,gravity,,never pay,soft,spring,,33.95816322,-9.44812238,,vwc,kkkt_makwale,kkkt _ konde and dwe,2011-07-31,True,True,,functional
dry,communal standpipe multiple,submersible,,,,machine dbh,,,-2e-08,,vwc,government of tanzania,government,2011-08-01,True,True,,non functional
dry,communal standpipe,gravity,,never pay,soft,rainwater harvesting,,30.98302258,-1.68065404,,private operator,sawaka,artisan,2011-07-14,True,True,,functional
insufficient,communal standpipe multiple,gravity,2008.0,pay per bucket,soft,spring,766.0,37.34816881,-3.35653763,1.0,water authority,muwsa,muwsa,2013-02-22,True,True,20.0,non functional
enough,communal standpipe,gravity,2008.0,pay per bucket,soft,spring,962.0,37.47943592,-3.36819761,45.0,water board,ces (gmbh),dwe,2013-07-03,True,True,6.0,functional
enough,communal standpipe,gravity,2009.0,never pay,soft,spring,1583.0,36.72112734,-3.33981163,150.0,vwc,olgilai village community,olgilai village community,2013-08-03,True,True,,non functional
enough,hand pump,handpump,2000.0,never pay,soft,shallow well,1703.0,35.56134607,-3.80687858,456.0,wug,kkkt,kkkt,2013-01-22,True,,,functional
enough,hand pump,handpump,,never pay,soft,shallow well,,31.45428168,-1.56388609,,vwc,government of tanzania,dwe,2011-07-07,True,True,,functional needs repair
seasonal,communal standpipe,gravity,1999.0,never pay,soft,spring,190.0,38.78943655,-5.11324963,200.0,vwc,roman catholic,dwe,2011-03-13,False,True,,functional
enough,other,other,1992.0,never pay,soft,shallow well,1670.0,38.37667127,-4.647289499999999,1.0,vwc,government of tanzania,dwe,2011-03-22,True,True,,non functional
enough,communal standpipe multiple,gravity,1985.0,pay monthly,soft,river,954.0,29.66972029,-4.77975837,567.0,vwc,norad,rwe,2013-01-16,True,True,500.0,functional needs repair
insufficient,communal standpipe,gravity,2002.0,,soft,river,1365.0,36.94745079,-3.35002587,130.0,vwc,adra,adra /community,2013-05-03,True,True,,non functional
enough,hand pump,handpump,2004.0,never pay,soft,machine dbh,1538.0,34.76272634,-4.30776106,225.0,wug,sema,sema,2013-01-19,True,True,,functional
dry,communal standpipe,motorpump,1970.0,,,machine dbh,1415.0,34.62159801,-5.17313618,1.0,vwc,,,2013-02-09,,True,,non functional
enough,hand pump,rope pump,2010.0,never pay,soft,hand dtw,1788.0,34.89725735,-9.2035221,50.0,private operator,piusi,shipo,2011-02-22,True,True,,functional
dry,other,gravity,,never pay,soft,spring,,30.71609028,-1.2857798,,vwc,government of tanzania,dwe,2011-07-31,True,True,,non functional
dry,communal standpipe,gravity,1978.0,pay when scheme fails,soft,river,1366.0,34.55789311,-8.88959406,54.0,wua,unicef,dwe,2011-01-04,True,True,,non functional
dry,communal standpipe,other,2004.0,never pay,soft,rainwater harvesting,1694.0,29.76800862,-4.47180947,1.0,private operator,government of tanzania,dwe,2013-02-04,False,True,,non functional
insufficient,hand pump,handpump,1995.0,pay monthly,,shallow well,303.0,35.81898147,-8.93495018,280.0,vwc,government of tanzania,rwe,2011-03-05,True,True,200.0,non functional
insufficient,communal standpipe,gravity,,never pay,soft,river,,34.46222769,-8.57578037,,vwc,,,2011-03-31,False,True,,non functional
seasonal,communal standpipe,gravity,,never pay,soft,river,,34.24718,-8.60751263,,vwc,,,2011-04-04,True,True,,non functional
insufficient,hand pump,handpump,1991.0,other,soft,shallow well,1565.0,34.657034499999995,-1.88801974,200.0,wug,hesawa,hesawa,2013-02-27,True,,,non functional
enough,hand pump,handpump,2009.0,pay when scheme fails,soft,shallow well,1153.0,30.41995839,-4.27996794,1.0,vwc,dwe,dwe,2013-01-16,False,True,500.0,functional
insufficient,communal standpipe multiple,submersible,,never pay,soft,machine dbh,,31.79687285,-1.35148627,,vwc,,,2011-08-07,False,True,,non functional
enough,communal standpipe,gravity,2008.0,pay monthly,soft,spring,2049.0,34.68047144,-9.3264772,75.0,wua,rc church,acra,2011-03-23,True,True,500.0,functional
insufficient,communal standpipe,gravity,1974.0,,soft,spring,905.0,36.93165941,-3.55703413,140.0,vwc,government of tanzania,rwe,2013-03-18,True,True,,functional
dry,communal standpipe,gravity,1992.0,never pay,soft,river,406.0,38.58082367,-4.8348356,900.0,vwc,government of tanzania,dwe,2011-03-30,False,True,,non functional
insufficient,hand pump,handpump,,,soft,shallow well,,32.25500494,-3.36190077,,vwc,world vision,world vision,2012-10-23,True,True,,functional
enough,communal standpipe,gravity,2002.0,never pay,soft,spring,2328.0,34.28447604,-9.27156548,,vwc,roman,commu,2011-03-02,False,True,,functional
enough,communal standpipe,gravity,2004.0,never pay,soft,river,427.0,37.722953100000005,-7.02426273,100.0,vwc,roman,roman,2011-03-04,True,True,,functional needs repair
enough,communal standpipe,gravity,2011.0,,soft,spring,1331.0,36.75793224,-3.3747906000000003,360.0,wua,swisland/ mount meru flowers,community,2013-03-14,True,True,,functional
insufficient,hand pump,handpump,,pay when scheme fails,soft,shallow well,,33.53890869,-3.36161167,,wug,rwssp,dwe,2012-10-22,False,True,,functional
enough,hand pump,gravity,2002.0,,soft,rainwater harvesting,1185.0,34.19057512,-1.60969058,544.0,parastatal,ifad,ifad,2012-10-18,False,,,non functional
seasonal,hand pump,handpump,,never pay,soft,shallow well,,32.18551701,-2.37877187,,vwc,swedish,sengerema water department,2011-08-08,True,True,,non functional
enough,hand pump,handpump,2000.0,pay monthly,soft,machine dbh,1701.0,35.73447433,-7.91231657,441.0,vwc,idc,dwe,2011-02-20,True,True,500.0,functional
insufficient,communal standpipe,gravity,,never pay,soft,spring,,31.55890304,-2.02646851,,vwc,he,he,2011-09-05,False,True,,non functional
enough,communal standpipe,submersible,2008.0,pay per bucket,soft,river,159.0,38.35356668,-6.63869562,20.0,private operator,private individual,wu,2011-03-12,True,False,50.0,non functional
insufficient,communal standpipe multiple,motorpump,,pay per bucket,soft,machine dbh,,35.87817211,-5.89186837,,vwc,water,commu,2011-04-11,False,True,,functional needs repair
enough,communal standpipe,gravity,2006.0,pay monthly,soft,river,1002.0,29.67098869,-4.7268496,120.0,vwc,isf/tacare,isf and tacare,2013-01-17,True,True,200.0,functional needs repair
enough,hand pump,handpump,2006.0,never pay,salty,machine dbh,212.0,38.96294513,-10.47656619,280.0,vwc,jica,kokeni,2013-01-20,True,True,,non functional
enough,communal standpipe,submersible,1987.0,pay monthly,soft,river,18.0,38.89040167,-6.55790327,40.0,vwc,danida,da,2011-03-23,True,True,200.0,non functional
insufficient,communal standpipe,gravity,2008.0,never pay,soft,spring,1560.0,35.51217404,-4.44803987,221.0,vwc,adra,adra,2013-02-18,True,True,,functional
insufficient,hand pump,handpump,,never pay,milky,shallow well,,31.45311103,-1.19438963,,vwc,hesawa,dwe,2011-07-11,True,True,,non functional
enough,communal standpipe multiple,gravity,2007.0,pay monthly,soft,dam,1471.0,30.21673046,-4.34106206,950.0,vwc,danida,danida,2013-01-27,True,True,250.0,functional
enough,communal standpipe multiple,submersible,1978.0,other,soft,machine dbh,1274.0,30.12668109,-4.23637808,1430.0,vwc,government of tanzania,government,2013-02-11,False,True,500.0,non functional
enough,communal standpipe multiple,submersible,,pay per bucket,,machine dbh,,33.0795039,-3.00965923,,private operator,mzee sh,allys,2011-08-04,True,False,,functional
enough,communal standpipe,gravity,1978.0,pay when scheme fails,soft,river,1000.0,35.54217277,-10.80885305,,vwc,danida,dwe,2013-02-19,True,True,,functional needs repair
enough,communal standpipe multiple,motorpump,,never pay,soft,dam,,33.23583842,-3.56601953,,vwc,aict,aict,2012-10-06,False,False,,non functional
dry,other,other,1962.0,never pay,soft,shallow well,98.0,39.04298326,-4.99423737,110.0,vwc,government of tanzania,dwe,2011-08-04,True,True,,non functional
enough,hand pump,handpump,2010.0,never pay,soft,machine dbh,1128.0,34.56343795,-4.09374985,256.0,wug,rwssp,dwe,2013-01-17,True,True,,functional
insufficient,improved spring,gravity,2002.0,,soft,spring,1352.0,30.65026741,-3.55486258,150.0,vwc,tcrs,community,2013-02-05,False,True,,functional
enough,communal standpipe multiple,submersible,2011.0,pay per bucket,soft,machine dbh,701.0,36.95075936,-11.31324316,1.0,vwc,kiuma,kiuma,2013-02-13,False,True,50.0,functional needs repair
enough,communal standpipe,gravity,1999.0,pay per bucket,soft,spring,1409.0,37.17489041,-3.21646394,75.0,water board,germany republi,ces,2013-02-26,True,True,10.0,functional
enough,communal standpipe,gravity,2010.0,pay monthly,soft,spring,744.0,37.61640658,-3.56996907,320.0,vwc,district council,district counci,2013-02-16,True,True,1000.0,functional
enough,hand pump,handpump,,other,soft,shallow well,,33.69790014,-3.26949691,,wug,netherlands,dwe,2013-02-17,False,True,,functional
enough,hand pump,handpump,,other,soft,hand dtw,,31.767300899999995,-3.0251057,,vwc,hesawa,hesawa,2011-07-21,True,True,,non functional
dry,communal standpipe,gravity,2000.0,pay per bucket,soft,spring,1428.0,35.63048144,-7.71054858,1.0,vwc,ruthe,ruthe,2011-03-07,True,True,50.0,non functional
enough,communal standpipe,other,,never pay,soft,river,,33.80508085,-9.1306743,,vwc,,,2011-07-12,,True,,functional
insufficient,communal standpipe,gravity,2004.0,,fluoride,river,1295.0,36.90832887,-3.33074309,120.0,vwc,adra,adra/community,2013-05-03,True,True,,non functional
enough,communal standpipe multiple,gravity,2005.0,,soft,river,1207.0,36.87553547,-3.3445666,120.0,wug,government of tanzania,community,2013-07-03,True,True,,functional
enough,hand pump,handpump,,never pay,milky,shallow well,,31.48904738,-3.26790435,,vwc,tulawaka gold mine,tulawaka gold mine,2011-07-17,True,True,,functional
seasonal,communal standpipe,gravity,,pay when scheme fails,soft,river,,33.23267014,-9.26648533,,wug,danida,danida,2011-04-07,False,False,,functional
enough,communal standpipe,gravity,,pay per bucket,soft,spring,,36.55702857,-6.37279744,,vwc,kkkt,kkt c,2011-04-10,True,True,,non functional
insufficient,communal standpipe,gravity,,pay when scheme fails,soft,spring,,31.66327256,-1.08048548,,vwc,hesawa,dwe,2011-07-17,True,True,,non functional
enough,hand pump,handpump,1997.0,never pay,soft,shallow well,445.0,37.48747402,-6.82950072,90.0,vwc,nethalan,dwe,2011-03-07,True,True,,functional
dry,communal standpipe,gravity,2000.0,,soft,rainwater harvesting,1191.0,33.35647131,-2.06349369,804.0,parastatal,hesawa,dwe,2013-01-22,False,False,,non functional
insufficient,communal standpipe,gravity,1997.0,never pay,soft,rainwater harvesting,1339.0,34.44864527,-2.02266257,600.0,other,hesawa,hesawa,2012-10-29,,False,,functional
insufficient,communal standpipe multiple,submersible,2004.0,pay per bucket,salty,machine dbh,1348.0,37.02381013,-5.5923447,1.0,vwc,tasaf,water board,2013-02-26,True,True,50.0,non functional
enough,communal standpipe,gravity,2000.0,pay monthly,soft,spring,2073.0,34.22303933,-9.3449213,,vwc,kkkt,commu,2011-02-25,False,True,100.0,non functional
enough,other,other,,never pay,soft,shallow well,,31.57239755,-1.42926609,,vwc,hesawa,local contract,2011-07-14,True,True,,functional
enough,communal standpipe,gravity,,never pay,soft,machine dbh,,31.4647567,-2.77016894,,vwc,concern world wide,dwe,2011-07-22,True,True,,non functional
seasonal,communal standpipe,gravity,2012.0,other,soft,spring,1302.0,36.77862138,-2.55618033,370.0,parastatal,wfp,wfp,2013-03-14,,True,,functional
enough,communal standpipe,gravity,,never pay,soft,spring,,33.87310388,-9.29061569,,vwc,,,2011-04-07,,True,,functional
dry,hand pump,other,,never pay,soft,machine dbh,,32.071081,-5.06726885,,vwc,dwe,dwe,2012-10-11,True,False,,non functional
insufficient,communal standpipe,motorpump,2000.0,pay per bucket,soft,machine dbh,1455.0,34.71064345,-5.18676616,50.0,vwc,,,2013-02-14,,True,50.0,functional
enough,communal standpipe,gravity,2008.0,pay monthly,soft,spring,2050.0,34.64835709,-9.31731152,305.0,wua,rc church,acra,2011-03-23,True,True,500.0,functional
enough,hand pump,handpump,,,soft,shallow well,,32.95155946,-3.77939282,,wug,rwssp,dwe,2012-10-05,True,True,,non functional
dry,other,other,,never pay,coloured,shallow well,,32.99370088,-2.69044203,,vwc,hesawa,hesawa,2011-07-27,True,,,non functional
enough,hand pump,handpump,,never pay,soft,shallow well,,31.6012707,-2.93012242,,vwc,hesawa,hesawa,2011-07-19,True,True,,functional
insufficient,communal standpipe,gravity,,pay per bucket,soft,spring,976.0,36.84150658,-3.49366766,150.0,vwc,government of tanzania,dwe,2013-03-16,True,True,20.0,functional
seasonal,communal standpipe,gravity,,never pay,soft,river,,33.86126585,-8.68481006,,wua,,,2011-04-15,False,True,,functional
insufficient,other,other,,,milky,shallow well,,32.54432125,-4.07660522,,wug,rwssp,dwe,2012-10-23,True,True,,functional
enough,communal standpipe,gravity,2008.0,never pay,soft,spring,1282.0,38.32726235,-4.4646702000000005,1.0,vwc,government of tanzania,dwe,2011-03-05,True,True,,functional
enough,communal standpipe,gravity,2007.0,pay when scheme fails,soft,spring,2050.0,34.68859705,-9.69622598,50.0,vwc,district council,dwe,2011-03-17,False,True,,functional
seasonal,hand pump,handpump,,never pay,soft,shallow well,,32.41352249,-9.09504292,,vwc,kkkt,kkkt,2011-07-11,False,True,,non functional
insufficient,hand pump,handpump,2006.0,pay per bucket,soft,shallow well,11.0,39.88898115,-10.13363156,1.0,vwc,lips,lips,2013-01-25,False,False,30.0,non functional
enough,hand pump,handpump,,never pay,soft,shallow well,,31.19411613,-3.06136744,,vwc,concern world wide,dwe,2011-07-16,True,True,,functional
enough,communal standpipe,gravity,,never pay,soft,rainwater harvesting,,31.64732214,-2.78450823,,vwc,tasaf,tasaf,2011-07-22,True,True,,functional
dry,communal standpipe,gravity,,never pay,soft,river,,33.86084491,-9.59608383,,water authority,sida,central government,2011-10-07,True,True,,non functional
enough,communal standpipe,gravity,2004.0,pay monthly,soft,river,471.0,37.82346185,-6.771698700000001,150.0,vwc,world bank,world,2011-03-17,True,True,20.0,functional
dry,hand pump,handpump,,never pay,soft,shallow well,,32.78502522,-5.41803094,,vwc,tasaf,tasaf,2012-10-23,True,True,,non functional
insufficient,communal standpipe,submersible,1974.0,,soft,machine dbh,385.0,37.44310991,-6.29976667,1.0,vwc,government of tanzania,rwe,2011-08-03,True,True,,functional
dry,communal standpipe,gravity,1972.0,never pay,,machine dbh,350.0,37.88687839,-6.86199999,1.0,vwc,tanza,dwe,2011-02-24,True,True,,non functional
enough,communal standpipe,submersible,,pay per bucket,soft,machine dbh,12.0,39.1857105,-6.89259326,150.0,private operator,0,0,2013-03-21,False,,50.0,functional
enough,improved spring,gravity,,never pay,soft,spring,,31.65326799,-1.59857903,,vwc,sw,sw,2011-08-02,True,True,,functional needs repair
enough,hand pump,rope pump,2010.0,pay when scheme fails,soft,hand dtw,1603.0,34.98887131,-8.91132497,40.0,vwc,shipo,shipo,2011-02-03,False,True,2000.0,functional
enough,other,other,1987.0,,salty,machine dbh,1.0,39.6002343,-10.02772132,200.0,vwc,fini water,fini water,2013-01-24,True,True,,non functional
seasonal,communal standpipe,gravity,,never pay,coloured,river,,34.35839958,-8.69424705,,water board,,,2011-04-07,True,False,,functional
enough,improved spring,other,2008.0,,soft,spring,1589.0,34.45547821,-1.24644694,1600.0,vwc,kanisa,kanisa,2012-10-21,True,True,,functional
seasonal,communal standpipe,gravity,,never pay,coloured,river,,33.78421925,-8.77994557,,wua,,,2011-04-16,True,True,,functional
dry,other,motorpump,1970.0,never pay,salty,machine dbh,-15.0,39.52711433,-6.98874758,50.0,vwc,0,0,2013-03-16,False,True,,non functional
enough,hand pump,handpump,1996.0,,soft,shallow well,1481.0,34.56387749,-1.72068493,400.0,wug,hesawa,hesawa,2013-02-22,True,,,non functional
enough,other,other,1996.0,never pay,soft,spring,1595.0,29.80857829,-4.46052001,590.0,vwc,oxfarm,oxfarm,2013-02-03,False,True,,functional
enough,hand pump,handpump,2009.0,pay monthly,soft,machine dbh,531.0,37.41877342,-10.91557638,1.0,vwc,tasaf,tasaf,2013-02-24,False,False,400.0,non functional
insufficient,communal standpipe,gravity,,pay when scheme fails,soft,river,,33.54480544,-8.928838699999998,,wug,village council,village council orpha,2011-04-02,True,True,,functional
enough,other,other,,,soft,shallow well,,32.17244285,-3.64330972,,wug,world vision,world vision,2012-10-19,True,,,functional needs repair
enough,hand pump,handpump,,other,soft,shallow well,,34.08915375,-3.12214007,,wug,netherlands,dwe,2012-10-20,False,True,,functional
enough,hand pump,handpump,2010.0,never pay,soft,machine dbh,101.0,39.55938321,-9.70159734,1.0,vwc,government of tanzania,,2013-01-30,False,False,,functional
enough,hand pump,handpump,2009.0,pay when scheme fails,soft,hand dtw,1562.0,34.94546531,-8.86866011,250.0,vwc,kkkt,villagers,2011-03-03,False,True,1000.0,functional
enough,other,other,1986.0,never pay,soft,machine dbh,1481.0,32.06591365,-8.68875072,450.0,vwc,rudep,dwe,2011-08-17,False,True,,non functional
enough,communal standpipe multiple,gravity,1978.0,pay monthly,soft,river,1445.0,34.68050209,-8.84136926,80.0,wua,unicef,dwe,2011-03-28,True,True,500.0,functional
enough,communal standpipe,gravity,1977.0,pay annually,soft,river,1242.0,30.26413388,-4.52564753,560.0,water board,government of tanzania,dwe,2013-01-21,True,True,1200.0,functional
enough,hand pump,handpump,,never pay,salty,machine dbh,,33.16358148,-2.54645921,,vwc,hesawz,dwe,2011-07-23,True,True,,functional
enough,communal standpipe,motorpump,2009.0,,soft,machine dbh,1231.0,35.0800974,-5.32212056,2500.0,vwc,shanta,idara ya maji,2013-01-25,False,True,,functional
enough,other,submersible,,never pay,salty,machine dbh,,33.43789893,-4.42476057,,private operator,fpct,fpct,2012-10-23,False,True,,functional
enough,other,other,2010.0,,soft,shallow well,1076.0,30.90475149,-5.10070113,1050.0,vwc,government of tanzania,dwe,2013-02-06,True,True,,non functional
seasonal,communal standpipe,gravity,,other,soft,rainwater harvesting,,,-2e-08,,parastatal,wvt,wvt,2013-01-30,False,False,,functional
seasonal,communal standpipe,gravity,2004.0,pay per bucket,soft,spring,262.0,39.08229758,-10.9753631,36.0,vwc,lga,lga,2013-02-05,True,True,20.0,functional
seasonal,communal standpipe,gravity,1983.0,pay when scheme fails,soft,river,935.0,35.98642477,-10.73055089,540.0,vwc,danida,danida,2013-02-27,True,True,,functional
dry,communal standpipe,gravity,1972.0,never pay,soft,river,823.0,31.7799078,-7.80637606,300.0,vwc,dwe,dwe,2011-08-11,True,True,,non functional
enough,communal standpipe,submersible,2010.0,pay per bucket,soft,river,217.0,38.33493265,-6.45446888,12.0,private operator,private individual,wu,2011-03-09,True,True,40.0,functional
insufficient,hand pump,handpump,1997.0,pay monthly,soft,shallow well,253.0,36.70397575,-8.12006358,450.0,vwc,dhv,rwe,2011-03-18,True,True,500.0,functional
insufficient,other,other,1997.0,pay monthly,salty,shallow well,665.0,36.70991445,-6.64260892,632.0,vwc,ir,ir,2011-03-11,True,True,300.0,non functional
enough,communal standpipe,gravity,1972.0,pay when scheme fails,soft,river,1783.0,31.52365762,-8.17864388,50.0,vwc,government of tanzania,dwe,2011-07-16,True,True,500.0,functional
enough,hand pump,handpump,2012.0,never pay,fluoride,shallow well,961.0,35.7005422,-3.81945703,245.0,vwc,world vision,world vision,2013-03-07,True,True,,functional
enough,other,other,,,soft,shallow well,,,-2e-08,,wug,netherlands,dwe,2013-01-17,False,,,non functional
seasonal,hand pump,handpump,,pay when scheme fails,soft,shallow well,,33.20344175,-9.07440778,,vwc,kkkt,kkkt,2011-08-14,False,False,,functional
